nestling,extract,sex,year,nest,treatment,repeat,round,fledged,mass
M95B,184,F,2013,95,P,1,1,0,
M95L,186,M,2013,95,P,1,1,0,
M95N,170,F,2013,95,P,1,1,0,
M95R,187,M,2013,95,P,1,1,0,
109-L,100,F,2015,109,W,0,1,0,
109-R,99,F,2015,109,W,0,1,0,
103.2-B,107,M,2015,103.2,P,0,2,1,40.96
103.2-L,106,M,2015,103.2,P,0,2,1,41.18
103.2-R,127,M,2015,103.2,P,0,2,1,42.02
108.2-B,93,F,2015,108.2,W,0,2,1,33.28
108.2-L,92,F,2015,108.2,W,0,2,0,34.36
108.2-N,94,M,2015,108.2,W,0,2,0,29.14
108.2-R,91,F,2015,108.2,W,0,2,1,30.51
115.2-L,88,M,2015,115.2,W,0,2,0,
115.2-R,87,F,2015,115.2,W,0,2,0,
117.2-B,135,,2015,117.2,P,0,2,1,35.16
117.2-L,109,M,2015,117.2,P,0,2,1,39.44
117.2-R,134,,2015,117.2,P,0,2,1,34.82
131.2-B,90,F,2015,131.2,W,0,2,1,37.96
131.2-R,89,F,2015,131.2,W,0,2,1,37.57
137.2-L,129,F,2015,137.2,P,0,2,1,33.6
137.2-N,146,,2015,137.2,P,0,2,1,35.2
137.2-R,128,F,2015,137.2,P,0,2,1,33.92
138.2-B,156,F,2015,138.2,P,0,2,1,32.96
138.2-L,155,M,2015,138.2,P,0,2,1,38.6
138.2-N,157,F,2015,138.2,P,0,2,1,29.45
138.2-R,154,F,2015,138.2,P,0,2,1,33.79
138.2-S,160,F,2015,138.2,P,0,2,1,25.91
2.2-B,130,F,2015,2.2,P,0,2,1,37.83
2.2-L,105,F,2015,2.2,P,0,2,1,38.29
2.2-N,132,,2015,2.2,P,0,2,1,38.25
2.2-R,131,F,2015,2.2,P,0,2,1,38.13
2.2-S,133,M,2015,2.2,P,0,2,1,31.86
24.2-L,140,,2015,24.2,W,0,2,0,0
24.2-N,139,M,2015,24.2,W,0,2,1,0
24.2-R,138,M,2015,24.2,W,0,2,0,0
25.2-B,149,F,2015,25.2,P,0,2,0,
25.2-L,148,M,2015,25.2,P,0,2,0,
25.2-R,147,M,2015,25.2,P,0,2,0,
35.2-L,117,F,2015,35.2,W,0,2,0,
35.2-N,118,M,2015,35.2,W,0,2,0,
52.2-B,121,M,2015,52.2,P,0,2,0,
52.2-L,120,M,2015,52.2,P,0,2,1,37.58
52.2-R,119,F,2015,52.2,P,0,2,1,35.03
74.2-L,125,M,2015,74.2,P,0,2,1,39.93
74.2-N,145,,2015,74.2,P,0,2,1,32.66
74.2-R,124,F,2015,74.2,P,0,2,1,33.35
91.2-B,159,F,2015,91.2,P,0,2,1,39.3
91.2-L,158,,2015,91.2,P,0,2,1,44.6
91.2-N,142,M,2015,91.2,P,0,2,1,38.5
91.2-R,141,M,2015,91.2,P,0,2,1,43.13
95.2-B,136,F,2015,95.2,P,0,2,1,32.37
95.2-L,137,F,2015,95.2,P,0,2,1,32.38
95.2-N,144,F,2015,95.2,P,0,2,1,27.3
95.2-R,143,F,2015,95.2,P,0,2,1,34.94
98.2-N,126,M,2015,98.2,W,0,2,0,
100-L,80,F,2015,100,P,1,1,1,16.75
100-R,71,M,2015,100,P,1,1,1,28.24
103-B,58,M,2015,103,P,1,1,0,
103-L,57,M,2015,103,P,1,1,0,
103-R,56,M,2015,103,P,1,1,0,
108-L,61,M,2015,108,W,1,1,0,
109-B,42,F,2015,109,W,1,1,0,
109-R,41,F,2015,109,W,1,1,0,
111-L,34,F,2015,111,P,1,1,1,35.1
111-R,33,F,2015,111,P,1,1,0,36.5
115-L,36,M,2015,115,W,1,1,0,
115-R,35,F,2015,115,W,1,1,0,
122-L,32,M,2015,122,W,1,1,0,
122-R,31,M,2015,122,W,1,1,0,
129-L,24,M,2015,129,W,1,1,0,28
129-R,23,,2015,129,W,1,1,0,23.7
131-L,6,F,2015,131,W,1,1,0,31.63
131-R,5,F,2015,131,W,1,1,1,0
132-B,77,M,2015,132,W,1,1,0,
132-L,76,M,2015,132,W,1,1,1,33.4
132-N,78,M,2015,132,W,1,1,0,
137-B,39,M,2015,137,P,1,1,1,28.6
137-L,38,F,2015,137,P,1,1,1,26.1
137-R,37,F,2015,137,P,1,1,0,23.3
138-L,81,F,2015,138,P,1,1,1,30.4
138-N,82,F,2015,138,P,1,1,1,28.7
140-L,22,M,2015,140,W,1,1,1,29.5
140-R,21,M,2015,140,W,1,1,1,33.1
2-B,60,F,2015,2,P,1,1,1,31.8
2-L,12,F,2015,2,P,1,1,0,32.12
2-R,59,M,2015,2,P,1,1,0,39.22
20-B,19,F,2015,20,W,1,1,1,33.76
20-L,18,F,2015,20,W,1,1,1,30.04
20-R,17,M,2015,20,W,1,1,1,41.01
24-L,65,F,2015,24,P,1,1,1,34.1
24-N,66,M,2015,24,P,1,1,0,24.8
24-R,64,M,2015,24,P,1,1,1,36.8
25-B,69,M,2015,25,P,1,1,1,38.9
25-L,68,M,2015,25,P,1,1,1,38.8
25-N,70,F,2015,25,P,1,1,0,
25-R,67,F,2015,25,P,1,1,1,32.7
35-L,46,F,2015,35,W,1,1,0,29.34
35-R,13,,2015,35,W,1,1,0,31.73
42-L,44,M,2015,42,W,1,1,0,32.8
42-N,45,M,2015,42,W,1,1,0,35.8
42-R,43,M,2015,42,W,1,1,0,
52-L,26,M,2015,52,P,1,1,1,38.2
52-N,27,,2015,52,P,1,1,0,
52-R,25,,2015,52,P,1,1,1,38.5
53-L,63,M,2015,53,W,1,1,0,20.5
53-R,62,M,2015,53,W,1,1,0,22.2
59-B,8,F,2015,59,P,1,1,1,35.91
59-R,7,F,2015,59,P,1,1,1,36.61
7-L,84,F,2015,7,W,1,1,1,25.3
7-R,83,F,2015,7,W,1,1,0,27.3
74-L,48,M,2015,74,P,1,1,1,32.95
74-N,49,M,2015,74,P,1,1,0,
74-R,47,F,2015,74,P,1,1,0,38.05
76-L,54,F,2015,76,W,1,1,0,
76-N,55,F,2015,76,W,1,1,0,
76-R,53,F,2015,76,W,1,1,0,
77-L,51,M,2015,77,P,1,1,0,34.98
77-N,52,F,2015,77,P,1,1,0,32.45
77-R,50,M,2015,77,P,1,1,1,39.28
85-B,16,F,2015,85,W,1,1,0,32.52
85-L,15,F,2015,85,W,1,1,0,
85-R,14,F,2015,85,W,1,1,1,34.1
88-L,75,,2015,88,P,1,1,1,37.43
88-N,79,F,2015,88,P,1,1,0,
88-R,74,F,2015,88,P,1,1,1,37.37
89-B,1,M,2015,89,P,1,1,1,41.66
89-L,4,M,2015,89,P,1,1,1,43.43
89-N,2,F,2015,89,P,1,1,1,20.98
89-R,3,F,2015,89,P,1,1,0,36.43
90-R,20,M,2015,90,P,1,1,1,40
91-L,29,M,2015,91,P,1,1,1,29.8
91-N,30,M,2015,91,P,1,1,0,
91-R,28,M,2015,91,P,1,1,0,33.7
93-L,73,F,2015,93,W,1,1,0,
93-R,72,F,2015,93,W,1,1,0,
95-R,40,F,2015,95,P,1,1,1,27.8
98-B,10,M,2015,98,W,1,1,0,
98-L,9,M,2015,98,W,1,1,0,25.93
98-R,11,F,2015,98,W,1,1,0,
100-L,51,M,2016,100,P,1,1,1,35.77
100-R,52,M,2016,100,P,1,1,1,41.29
103-L,32,F,2016,103,P,1,1,1,40.42
103-N,33,,2016,103,P,1,1,1,36.86
103-R,34,F,2016,103,P,1,1,1,40.11
107-B,35,F,2016,107,P,1,1,1,31.74
107-L,36,F,2016,107,P,1,1,1,33.85
107-R,37,F,2016,107,P,1,1,1,31.93
108-B,4,M,2016,108,P,1,1,0,
