"","yearnest","cumulative.rain","nestling","extract","sex","year","nest","treatment","repeat.","round","fledged","mass","male"
"337","2016-98",115.3,"98-R",61,"F","2016","98","W",1,"1",0,NA,0
"338","2013-111",NA,"M111R",225,"F","2013","111","W",1,"1",0,NA,0
"339","2012-86",NA,"DC101",123,NA,"2012","86","P",1,"1",1,38.3,NA
"340","2012-35",NA,"DC102",124,"F","2012","35","P",1,"1",1,33.6,0
"341","2012-35",NA,"DC103",125,"F","2012","35","P",1,"1",1,30.3,0
"342","2012-35",NA,"DC104",126,"F","2012","35","P",1,"1",1,29.4,0
"343","2015-25.2",NA,"25.2-B",149,"F","2015","25.2","P",0,"2",0,NA,0
"344","2015-25.2",NA,"25.2-R",147,"M","2015","25.2","P",0,"2",0,NA,1
"345","2015-25.2",NA,"25.2-L",148,"M","2015","25.2","P",0,"2",0,NA,1
"346","2016-74-2",NA,"74-2-R",66,"M","2016","74-2","W",1,"1",0,NA,1
